N°,DESCRIPCIÓN,Traba-jador,Pensio-nista,Prestador de Sev.,Personal de tercero,Naciona-lidad,Munici-palidad,Estado civil,Discapa-cidad,Condición de Domicilio,Nivel Educativo,Teléfono,Email,Ocupación,Tipo de Trabajador,Tipo de Contrato,Afiliado a Pretadora de Salud,Regimen Pensionario,Cuenta con SCTR,Tipo de Remune-ración,Periodi-cidad,Sujeto a control inmediato,Sindicali-zado
33,PESCADOR,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
36,PESCADOR - LEY 28320,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
37,MINERO DE TAJO ABIERTO,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
38,MINERO DE INDUSTRIA MINERA METALÚRGICA,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
35,OPCIÓN PENSIONISTA TRABAJADOR,X,X,,ELIMINADO,,,,,,,,,,,,,,,,,,
56,ARTISTA - LEY DEL ARTISTA - LEY 28131,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
64,AGRARIO DEPENDIENTE D.LEG 885,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
65,TRABAJADOR ACTIVIDAD ACUÍCOLA,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
66,PESCADOR Y PROCESADOR ARTESANAL INDEPEND,X,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
95,TRABAJADOR  QUE ADEMÁS GENERA CUARTA CATEGORÍA PARA EL MISMO EMPLEADOR,X,,,ELIMINADO,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
24,PENSIONISTA O CESANTE,,X,,,1,1,0,1,1,0,0,0,1,1,1,1,,,,,,
26,PENSIONISTA - LEY 28320,,X,,,1,1,0,1,1,0,0,0,1,1,1,1,,,,,,
80,PERSONA QUE GENERA SOLO INGRESOS DE CUARTA CATEGORÍA,,,X,,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,
81,PERSONA CON CONVENIO DE APRENDIZAJE CON PREDOMINIO EN LA EMPRESA,,,X,,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,
82,PERSONA CON CONVENIO DE PRÁCTICAS PRE - PROFESIONALES,,,X,,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,
83,PERSONA CON CONVENIO DE PRÁCTICAS PROFESIONALES,,,X,,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,
84,PERSONA CON CONVENIO DE CAPACITACIÓN LABORAL JUVENIL,,,X,,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,
85,PERSONA CON CONVENIO DE PASANTÍA EN LA EMPRESA,,,X,,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,
86,DOCENTE Y/O CATEDRÁTICO CON CONVENIO DE PASANTÍA ,,,X,,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,
87,PERSONA CON CONVENIO DE REINSERCIÓN LABORAL,,,X,,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,
98,PERSONA QUE GENERA INGRESOS DE CUARTA - QUINTA CATEGORÍA,,,X,,1,1,0,1,1,1,1,1,1,1,0,0,,,,,,
99,SOLO PARA SCTR,,,,ELIMINADO,,,,,,,,,,,,,,,,,,
,Personal de tercero,,,,X,1,1,0,1,1,0,0,0,0,0,0,0,,,,,,
,ELIMINADO,1,Se activa,,,,,,,,,,,,,,,,,,,,
,,0,No se activa,,,,,,,,,,,,,,,,,,,,
